0.65140000,64.95800000
0.74310000,70.00000000
0.83490000,74.78990000
0.94950000,78.82350000
1.11010000,82.35290000
1.19040000,84.36970000
1.30500000,84.87390000
1.45410000,85.12610000
1.56880000,85.63030000
1.71790000,86.13450000
1.80960000,86.38660000
1.98170000,86.13450000
2.58940000,90.67230000
2.78440000,68.73950000
3.08260000,68.48740000
3.26610000,67.47900000
3.50690000,64.70590000
3.67890000,62.68910000
3.86240000,60.16810000
4.06880000,57.64710000
4.26380000,55.88240000
4.50460000,53.10920000
4.69950000,51.09240000
4.96330000,47.56300000
