0.00000000,3.99410000
26.36530000,3.91500000
105.46140000,3.89130000
191.14880000,3.85180000
309.79280000,3.82810000
435.02820000,3.77270000
533.89830000,3.74110000
659.13370000,3.69370000
790.96050000,3.66210000
935.96990000,3.61460000
1067.79660000,3.57510000
1186.44070000,3.53560000
1344.63280000,3.48020000
1463.27680000,3.44860000
1601.69490000,3.41700000
1733.52170000,3.36960000
1891.71370000,3.33000000
1997.17510000,3.30630000
2129.00190000,3.27470000
2254.23730000,3.24310000
2405.83800000,3.21150000
2498.11680000,3.18770000
2629.94350000,3.13240000
2761.77020000,3.07710000
2893.59700000,3.00590000
2985.87570000,2.94270000
3051.78910000,2.87940000
3130.88510000,2.78460000
3209.98120000,2.67390000
3249.52920000,2.57110000
3282.48590000,2.48420000
