0.00000000,4.08890000
65.91340000,4.00990000
164.78340000,3.97830000
257.06210000,3.94660000
362.52350000,3.91500000
467.98490000,3.87550000
580.03770000,3.82810000
718.45570000,3.78850000
870.05650000,3.74900000
995.29190000,3.70950000
1272.12810000,3.63040000
1496.23350000,3.56720000
1667.60830000,3.51980000
1812.61770000,3.48810000
1970.80980000,3.44860000
2148.77590000,3.41700000
2293.78530000,3.37750000
2465.16010000,3.34580000
2636.53480000,3.29840000
2821.09230000,3.22730000
2972.69300000,3.14030000
3084.74580000,3.03750000
3183.61580000,2.89530000
3242.93790000,2.75300000
3275.89450000,2.64230000
3302.25990000,2.50790000
